PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
79.0,22.0,98.0,39.0,24.0,1.1621214,0.0,0.0,0.0,1.0117869,1.0268064,1.1621214,1.0805936
77.0,89.0,91.0,83.0,31.0,0.93914104,14.0,0.0,0.0,0.8296331,0.83056,0.93914104,0.7922109
56.0,89.0,26.0,67.0,47.0,0.69807136,30.0,0.0,0.0,0.639369,0.62964344,0.69807136,0.55457014
44.0,82.0,1.0,65.0,28.0,0.81642884,31.0,0.0,0.0,0.62345934,0.6153619,0.81642884,0.5362322
96.0,66.0,78.0,7.0,27.0,1.10563,0.0,0.0,0.0,1.0117869,1.0268064,1.10563,1.0805936
72.0,63.0,40.0,13.0,10.0,1.103231,0.0,0.0,0.0,1.0117869,1.0268064,1.103231,1.0805936
49.0,87.0,13.0,95.0,74.0,0.7530336,31.0,0.0,0.0,0.62345934,0.6153619,0.7530336,0.5362322
16.0,30.0,17.0,88.0,14.0,0.6848759,31.0,2.0,0.0,0.62982094,0.6080954,0.6848759,0.51724446
57.0,66.0,21.0,80.0,55.0,0.79930645,30.0,0.0,0.0,0.639369,0.62964344,0.79930645,0.55457014
57.0,43.0,97.0,97.0,98.0,0.95328647,14.0,0.0,0.0,0.8296331,0.83056,0.95328647,0.7922109
11.0,82.0,29.0,11.0,5.0,0.5235648,45.0,6.0,0.0,0.4262506,0.40657547,0.5235648,0.43304655
90.0,52.0,45.0,65.0,45.0,1.1461053,0.0,0.0,0.0,1.0117869,1.0268064,1.1461053,1.0805936
36.0,51.0,16.0,61.0,56.0,0.76051944,30.0,0.0,0.0,0.639369,0.62964344,0.76051944,0.55457014
86.0,87.0,10.0,6.0,98.0,1.1179802,0.0,0.0,0.0,1.0170213,1.0268064,1.1179802,1.0898099
45.0,14.0,1.0,46.0,63.0,1.1602316,0.0,0.0,0.0,1.0243523,1.0268064,1.1602316,1.0429142
13.0,55.0,71.0,79.0,81.0,0.6424327,45.0,5.0,0.0,0.44924074,0.40657547,0.6424327,0.2958271
2.0,73.0,80.0,43.0,46.0,0.5342491,45.0,5.0,0.0,0.4262506,0.40657547,0.5342491,0.43304655
69.0,62.0,17.0,39.0,51.0,1.0958769,0.0,0.0,0.0,1.0243523,1.0268064,1.0958769,1.0429142
67.0,57.0,33.0,99.0,88.0,0.98927754,15.0,0.0,0.0,0.81852186,0.81434584,0.9892775,0.77948374
31.0,68.0,60.0,46.0,30.0,0.75242764,31.0,0.0,0.0,0.61220497,0.6153619,0.75242764,0.5362322
18.0,61.0,8.0,50.0,84.0,0.799127,31.0,0.0,0.0,0.62345934,0.6153619,0.799127,0.5362322
75.0,65.0,91.0,14.0,53.0,1.1273994,0.0,0.0,0.0,1.0117869,1.0268064,1.1273994,1.0805936
4.0,98.0,26.0,42.0,85.0,0.59644145,45.0,6.0,1.0,0.44924074,0.40657547,0.59644145,0.2958271
50.0,38.0,95.0,34.0,77.0,0.98130584,10.0,0.0,0.0,0.87774366,0.89247596,0.98130584,0.88748133
87.0,56.0,13.0,15.0,59.0,1.1007686,0.0,0.0,0.0,1.0117869,1.0268064,1.1007686,1.0898099
25.0,35.0,37.0,67.0,23.0,0.7734852,31.0,0.0,0.0,0.62216324,0.6080954,0.7734851,0.51724446
52.0,18.0,18.0,21.0,81.0,1.1244801,0.0,0.0,0.0,1.0117869,1.0268064,1.1244801,1.0805936
90.0,85.0,25.0,16.0,56.0,1.1589289,0.0,0.0,0.0,1.0117869,1.0268064,1.1589289,1.0898099
16.0,82.0,22.0,10.0,78.0,0.62885505,45.0,6.0,0.0,0.4262506,0.40657547,0.62885505,0.43304655
11.0,15.0,93.0,16.0,7.0,0.7618445,31.0,1.0,0.0,0.6080954,0.6080954,0.7618445,0.51724446
4.0,18.0,45.0,20.0,64.0,0.59807295,45.0,1.0,0.0,0.44817933,0.44817933,0.59807295,0.51724446
54.0,18.0,12.0,22.0,71.0,1.1252981,0.0,0.0,0.0,1.0195383,1.0268064,1.1252981,1.0429142
87.0,36.0,55.0,34.0,54.0,1.1321689,0.0,0.0,0.0,1.0117869,1.0268064,1.1321689,1.0805936
37.0,99.0,45.0,78.0,95.0,0.7328432,31.0,0.0,0.0,0.62345934,0.6153619,0.7328432,0.5362322
28.0,68.0,94.0,22.0,42.0,0.75505525,31.0,0.0,0.0,0.60657376,0.6080954,0.75505525,0.51724446
84.0,2.0,37.0,81.0,53.0,1.1128197,0.0,0.0,0.0,1.0195383,1.0268064,1.1128197,1.0429142
22.0,85.0,2.0,81.0,13.0,0.6853197,31.0,2.0,0.0,0.62982094,0.6080954,0.6853197,0.51724446
100.0,45.0,27.0,3.0,99.0,1.0829498,0.0,0.0,0.0,1.0117869,1.0268064,1.0829498,1.0805936
8.0,8.0,59.0,71.0,51.0,0.7244711,31.0,1.0,0.0,0.6080954,0.6080954,0.7244711,0.51724446
32.0,53.0,70.0,25.0,31.0,0.7454964,31.0,0.0,0.0,0.5986027,0.6080954,0.7454964,0.51724446
13.0,27.0,54.0,38.0,45.0,0.7452886,31.0,0.0,0.0,0.60657376,0.6080954,0.7452886,0.51724446
86.0,100.0,62.0,33.0,44.0,1.0412227,4.0,0.0,0.0,0.95610726,0.9734722,1.0412227,1.0038214
87.0,48.0,49.0,78.0,31.0,1.1050375,0.0,0.0,0.0,1.0117869,1.0268064,1.1050375,1.0805936
96.0,7.0,68.0,49.0,27.0,1.116422,0.0,0.0,0.0,1.0117869,1.0268064,1.116422,1.0805936
98.0,50.0,94.0,29.0,39.0,1.1413265,0.0,0.0,0.0,1.0117869,1.0268064,1.1413265,1.0805936
16.0,95.0,79.0,42.0,12.0,0.5943367,45.0,5.0,0.0,0.4262506,0.40657547,0.5943367,0.43304655
